City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
226,Yenagoa,NG,78.69,Clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
228,Saint-Michel-Des-Saints,CA,86.94,Clouds,46.6834,-73.9159,Motel Du Mont trinity
229,Broome,US,82.2,Clouds,42.2506,-75.833,Chenango Valley State Park
230,Catalao,BR,81.86,Clouds,-18.1658,-47.9464,Mara Turismo Hotel
231,Avera,US,78.85,Rain,33.194,-82.5271,
238,Itaituba,BR,89.76,Clouds,-4.2761,-55.9836,Hotel Campos
241,Georgetown,MY,83.95,Clouds,5.4112,100.3354,Cititel Penang
245,Poum,NC,76.5,Clouds,-20.2333,164.0167,
246,Sinnamary,GF,82.13,Clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
247,Meulaboh,ID,78.19,Clouds,4.1363,96.1285,Kost Pria
252,Ouro Preto Do Oeste,BR,87.21,Clouds,-10.7481,-62.2158,Graúna Resort Hotel
253,Vaitape,PF,81.57,Clouds,-16.5167,-151.75,Conrad Bora Bora Nui
262,Miraflores,MX,78.03,Clouds,19.2167,-98.8083,Hotel Mansión
263,Wattegama,LK,77.49,Clouds,6.7989,81.4808,
266,Conde,BR,78.26,Clouds,-7.2597,-34.9075,Pousada Beija Flor
267,Sao Joao Da Barra,BR,78.89,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
268,Belmonte,BR,79.39,Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
275,Kavieng,PG,81.39,Clouds,-2.5744,150.7967,Nusa Island Retreat
276,Galle,LK,80.15,Rain,6.0367,80.217,Amangalla
277,Conceicao Do Araguaia,BR,84.52,Clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
279,Amarante,BR,85.53,Clouds,-6.2411,-42.8547,Hotel Pousada Velho Monge
283,Laguna,US,78.08,Clear,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
284,Acarau,BR,78.91,Clouds,-2.8856,-40.12,castelo pizzaria
287,Westbrook,US,89.85,Clear,43.677,-70.3712,Fireside Inn & Suites Portland
296,Pathein,MM,80.69,Clear,16.7833,94.7333,Pathein Hotel
298,Petapa,GT,84.25,Clouds,14.5028,-90.5517,La Visión del Espíritu Santo
299,Hambantota,LK,79.66,Clouds,6.1241,81.1185,Bungalow 63
301,Jalu,LY,75.74,Clouds,29.0331,21.5482,صاحبة الفخامة
302,Limon,CR,84.09,Clouds,10.0,-83.0333,Hotel Playa Bonita
303,Ariquemes,BR,86.99,Clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
307,Boffa,GN,82.51,Rain,10.1667,-14.0333,Hôtel Niara Belly
309,Gunjur,GM,78.87,Clear,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
311,Sonaguera,HN,87.67,Clouds,15.6333,-86.3333,Pulpería Ciomara H
317,Majene,ID,78.37,Clouds,-3.5403,118.9707,Kost Putri RABBANI
318,Sembe,CG,76.19,Clouds,1.6481,14.5806,
319,Pitimbu,BR,79.39,Rain,-7.4706,-34.8086,Reserva do Abiaí
321,Saint-Georges,GD,80.28,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
325,Valle Hermoso,MX,89.92,Clear,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
336,Lazaro Cardenas,MX,88.74,Clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
341,Vanimo,PG,77.43,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
342,Praya,CV,81.14,Clear,14.9215,-23.5087,LT Aparthotel
349,Trairi,BR,78.33,Rain,-3.2778,-39.2689,janelas do mar
354,Areia Branca,BR,84.4,Clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
355,Breves,BR,80.64,Clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
356,Callaway,US,82.45,Thunderstorm,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
362,Seminole,US,89.28,Clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
365,Novo Aripuana,BR,83.19,Clouds,-5.1206,-60.3797,Hotel Ezequiel
366,Alugan,PH,80.01,Clouds,12.2188,125.4808,JM Lodge
384,Banjar,ID,77.4,Clouds,-8.19,114.9675,The Hamsa Resort
389,Auki,SB,76.82,Clouds,-8.7676,160.7034,Auki Motel
392,Mataram,ID,77.81,Clouds,-8.5833,116.1167,Hotel Santika Mataram
394,Ishigaki,JP,75.33,Clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
395,Ailigandi,PA,82.92,Clouds,9.2333,-78.0167,Akwa Reef Lodge
396,Sao Felix Do Xingu,BR,88.97,Rain,-6.6447,-51.995,Rio Xingu Camping
401,Noumea,NC,75.0,Clouds,-22.2763,166.4572,Hôtel Le Lagon
402,Port Hedland,AU,75.25,Clouds,-20.3167,118.5667,The Esplanade Hotel
