WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
172,Goderich,43.7501,-81.7165,75.52,60,10,6.91,Clear,CA,2022-05-13 19:18:44
173,Tupancireta,-29.0806,-53.8358,64.38,73,100,6.2,Clouds,BR,2022-05-13 19:18:44
174,Esperance,-33.8667,121.9,57.24,62,63,22.41,Clouds,AU,2022-05-13 19:18:44
175,Sao Francisco Do Sul,-26.2433,-48.6381,70.03,73,75,9.22,Clouds,BR,2022-05-13 19:18:45
176,Touros,-5.1989,-35.4608,81.86,77,85,12.55,Rain,BR,2022-05-13 19:17:17
177,Tapes,-30.6733,-51.3958,64.08,68,43,4.32,Clouds,BR,2022-05-13 19:18:45
178,Saint-Louis,16.3333,-15.0,103.35,8,100,10.16,Clouds,SN,2022-05-13 19:18:46
179,Sabang,5.8933,95.3214,83.37,78,100,12.12,Clouds,ID,2022-05-13 19:18:46
180,Torbay,47.6666,-52.7314,50.76,71,100,4.0,Clouds,CA,2022-05-13 19:15:10
181,La Paz,-16.5,-68.15,64.38,18,20,13.8,Clouds,BO,2022-05-13 19:14:49
182,Bandrele,-12.9067,45.1914,80.35,78,0,8.05,Clear,YT,2022-05-13 19:19:46
183,Taikang,46.8333,124.4167,42.82,49,22,8.95,Clouds,CN,2022-05-13 19:19:47
184,Upernavik,72.7868,-56.1549,20.21,74,23,0.18,Clouds,GL,2022-05-13 19:19:47
185,Coquimbo,-29.9533,-71.3436,60.53,72,40,12.66,Clouds,CL,2022-05-13 19:19:47
186,Atambua,-9.1061,124.8925,72.95,89,66,3.24,Clouds,ID,2022-05-13 19:19:48
187,Moindou,-21.6924,165.677,71.28,69,100,6.91,Clouds,NC,2022-05-13 19:19:48
188,Vestmannaeyjar,63.4427,-20.2734,45.59,45,20,9.22,Clouds,IS,2022-05-13 19:19:48
189,Vila,42.0304,-8.1588,66.7,41,96,2.3,Clouds,PT,2022-05-13 19:19:49
190,San Joaquin,37.9333,-121.3011,77.85,31,0,11.5,Clear,US,2022-05-13 19:19:49
191,Gigmoto,13.7796,124.39,80.62,85,100,9.91,Clouds,PH,2022-05-13 19:19:49
192,Mar Del Plata,-38.0023,-57.5575,57.94,84,100,8.01,Clouds,AR,2022-05-13 19:19:50
193,Karimpur,23.9667,88.6167,82.62,80,13,15.21,Clouds,IN,2022-05-13 19:19:50
194,Ketchikan,55.3422,-131.6461,46.87,81,100,16.11,Clouds,US,2022-05-13 19:19:11
195,Kiruna,67.8557,20.2251,45.52,53,0,3.44,Clear,SE,2022-05-13 19:19:50
196,Champerico,14.3,-91.9167,93.74,61,6,8.86,Clear,GT,2022-05-13 19:15:07
197,New Norfolk,-42.7826,147.0587,52.92,85,100,2.35,Rain,AU,2022-05-13 19:19:51
198,Half Moon Bay,37.4636,-122.4286,77.54,68,0,17.27,Clear,US,2022-05-13 19:18:42
199,Vila Franca Do Campo,37.7167,-25.4333,63.01,85,100,8.28,Rain,PT,2022-05-13 19:19:51
200,Maniitsoq,65.4167,-52.9,27.79,69,67,14.16,Clouds,GL,2022-05-13 19:19:51
201,Conceicao Da Barra,-18.5933,-39.7322,78.24,72,57,9.71,Clouds,BR,2022-05-13 19:19:52
202,Waingapu,-9.6567,120.2641,76.93,86,79,4.52,Clouds,ID,2022-05-13 19:19:52
203,Russellville,35.2784,-93.1338,93.97,54,0,0.0,Clear,US,2022-05-13 19:19:53
204,Puksoozero,62.5903,40.6066,42.35,95,100,5.53,Clouds,RU,2022-05-13 19:19:53
205,Port Hardy,50.6996,-127.4199,48.38,66,100,13.8,Rain,CA,2022-05-13 19:19:53
206,Kitimat,54.0524,-128.6534,52.92,55,50,1.01,Clouds,CA,2022-05-13 19:19:54
207,The Valley,18.217,-63.0578,82.54,78,20,16.11,Clouds,AI,2022-05-13 19:19:54
208,Mecca,21.4267,39.8261,90.75,37,0,1.9,Clear,SA,2022-05-13 19:15:26
209,Mehamn,71.0357,27.8492,35.51,82,100,18.81,Clouds,NO,2022-05-13 19:19:54
